,social_assit,pharmaceutical,general_surgeon,general_practitioner,nurse,physiotherapist,gynecologist,family_physician,Nutricionista,pediatrician
280600,2,2,-,4,15,4,-,1,2,1
280610,1,1,-,5,13,2,-,3,1,-
280620,2,-,-,5,14,2,1,4,2,-
280630,1,1,-,-,6,1,-,3,-,-
280640,-,1,1,4,5,-,-,-,-,-
280650,-,-,-,-,2,2,-,2,-,-
280660,1,1,-,2,8,4,-,3,-,-
280670,11,-,-,13,62,4,-,20,6,1
280680,-,1,-,-,7,3,-,3,-,-
280690,1,1,-,1,4,2,-,1,1,-
280700,1,1,-,-,1,1,-,3,-,-
280710,5,1,-,7,29,6,-,9,1,-
280720,1,1,-,3,8,3,-,1,-,-
280730,1,1,-,1,4,-,-,-,-,-
280740,5,2,-,13,26,4,-,10,3,2
280750,1,1,-,1,12,1,-,3,-,-
280760,2,-,-,-,9,3,-,6,1,-
290010,1,1,-,-,10,5,-,3,2,-
290020,2,2,-,4,22,4,-,4,2,1
290030,2,1,-,3,10,6,-,4,3,-
290035,1,2,-,4,19,1,-,2,2,-
290040,4,1,-,5,18,3,-,3,4,-
290050,2,2,-,4,14,2,-,2,1,-
290060,-,1,-,2,8,1,-,-,-,-
290070,27,13,20,70,236,91,27,11,35,24
290080,3,4,1,12,20,4,1,4,1,2
290090,-,1,-,2,5,3,-,-,1,-
290100,5,6,-,12,44,7,1,7,7,5
290110,3,1,-,4,19,7,-,3,2,1
290115,3,-,-,9,20,4,1,2,1,-
290120,4,1,-,8,24,5,2,4,2,-
290130,1,1,-,5,12,2,-,4,1,-
290135,1,1,-,4,12,7,-,2,1,-
290140,3,1,-,2,13,2,-,1,1,-
290150,1,1,-,5,12,3,-,1,2,-
290160,1,1,-,11,23,2,1,2,4,-
290170,1,1,-,1,5,-,-,-,-,-
290180,2,2,-,1,13,2,-,4,1,-
290190,2,1,-,7,12,2,-,2,1,-
290195,-,1,-,1,6,2,-,2,-,-
290200,2,3,-,7,13,2,-,1,2,1
290205,1,-,-,2,10,7,1,4,1,-
290210,6,3,-,17,52,4,1,3,4,1
290220,-,1,-,-,8,1,-,1,1,-
290225,2,1,-,3,10,4,-,1,1,-
290230,2,1,-,1,9,2,-,2,1,-
290240,2,1,-,6,12,8,-,1,1,-
290250,2,-,-,4,15,4,1,2,2,-
290260,2,1,-,5,12,2,-,4,4,1
290265,2,-,-,4,17,1,-,2,1,-
290270,3,3,1,14,42,3,4,6,2,4
290280,1,3,-,7,26,4,1,4,1,3
290290,3,4,1,22,22,7,2,-,4,2
290300,3,1,-,8,21,3,-,-,1,-
290310,-,1,-,2,7,1,1,-,1,-
290320,40,31,14,119,335,120,21,16,29,31
290323,1,1,-,4,9,4,-,-,1,-
290327,3,1,-,7,20,6,-,2,2,1
290330,2,-,-,4,11,1,-,1,2,1
290340,2,1,-,6,19,9,-,6,2,2
290350,2,3,1,8,21,5,1,2,3,1
290360,6,1,-,5,14,2,-,-,2,-
290370,1,-,-,2,13,1,-,3,2,-
290380,1,-,-,5,15,3,-,4,4,1
290390,17,17,3,35,93,19,3,15,11,4
290395,1,2,-,3,9,3,-,1,2,1
290400,1,2,-,3,8,3,-,1,2,-
290405,1,2,-,3,11,1,-,-,2,1
290410,5,3,-,10,23,5,1,1,2,-
290420,2,2,-,8,10,3,-,-,1,-
290430,1,1,-,2,10,3,-,1,2,-
290440,3,1,-,2,6,2,-,2,1,-
290450,2,3,-,8,9,4,-,1,1,-
290460,7,11,4,26,83,16,7,9,9,5
290470,2,-,-,4,19,4,-,2,1,1
290475,2,2,-,2,18,3,-,5,2,-
290480,-,2,-,5,9,2,-,1,1,-
290485,2,1,-,2,17,2,-,-,1,1
290490,4,3,6,8,37,17,2,8,4,2
290500,2,3,-,12,27,4,2,4,3,2
290510,1,1,-,4,8,3,-,2,1,-
290515,2,2,-,1,10,2,-,5,1,-
290520,2,11,6,24,45,21,5,6,7,7
290530,1,3,-,7,17,4,1,3,2,-
290540,2,1,-,6,22,5,-,5,1,-
290550,3,2,-,4,10,5,-,3,1,-
290560,6,3,-,15,46,14,1,5,3,2
290570,62,47,12,178,353,155,41,62,54,59
290580,1,2,-,7,28,10,1,8,2,2
290590,5,4,-,2,22,2,1,5,3,2
290600,4,6,4,26,47,26,1,13,7,4
290610,1,2,1,4,8,1,-,1,-,1
290620,4,2,1,8,15,2,-,6,2,-
290630,2,1,-,5,21,10,1,7,3,1
290640,2,1,-,4,9,1,-,2,2,-
290650,33,4,3,32,106,23,12,10,13,16
290660,-,6,-,2,9,-,1,-,-,-
290670,3,1,-,7,20,6,-,3,3,2
290680,5,1,-,11,24,6,-,5,3,2
290682,4,2,-,3,12,3,-,4,2,-
290685,1,2,-,3,14,4,1,6,2,-
290687,7,4,-,14,30,6,1,2,5,1
290689,-,2,-,4,13,3,-,1,1,-
290690,3,1,-,8,25,4,1,6,1,1
290700,-,1,-,1,7,3,-,1,1,-
290710,2,1,1,10,19,4,-,2,4,-
290720,2,3,-,11,34,8,2,17,3,2
290730,5,4,-,7,32,14,1,6,5,2
290740,1,1,-,2,6,-,-,1,1,-
290750,5,6,-,14,57,24,-,6,11,1
290755,1,2,-,6,9,4,-,-,2,-
290760,2,-,-,3,16,3,-,3,2,-
290770,1,1,-,3,16,1,-,2,1,-
290780,3,4,1,5,28,6,1,5,4,1
290790,3,3,-,4,15,2,-,2,1,-
290800,1,3,-,11,32,8,1,-,2,1
290810,1,3,1,5,14,1,1,4,3,-
290820,3,1,-,6,29,7,-,4,1,1
290830,3,5,-,11,25,4,-,2,2,2
290840,7,5,1,29,76,34,8,6,24,1
290850,6,1,-,21,29,7,3,2,3,4
290860,1,1,-,3,21,3,1,6,2,1
290870,3,2,-,12,23,3,1,3,4,1
290880,-,1,-,2,6,1,-,-,1,-
290890,2,1,-,12,28,8,-,4,3,1
290900,-,2,-,6,12,2,-,1,5,-
290910,2,2,-,1,20,2,1,2,1,1
290920,1,1,-,2,14,2,-,4,1,-
290930,1,2,-,3,26,4,-,7,2,-
290940,1,-,-,1,10,2,-,3,2,-
290950,-,1,-,2,5,1,-,-,-,-
290960,-,1,1,6,21,4,-,4,3,1
290970,1,1,-,4,13,2,-,-,1,-
290980,10,16,1,34,66,24,3,6,10,4
290990,3,1,-,8,23,4,-,10,1,1
291000,1,1,-,2,14,1,-,-,1,-
291005,6,5,-,15,69,16,7,19,9,7
291010,5,1,-,6,13,5,-,2,2,1
291020,1,1,-,1,4,1,-,1,2,-
291030,1,-,-,1,11,1,-,2,1,-
291040,3,1,1,3,16,3,1,4,4,-
291050,3,3,-,10,40,7,-,7,5,-
291060,4,2,-,9,30,7,2,2,3,1
291070,10,3,-,13,65,14,3,16,10,1
291072,19,20,3,64,160,56,15,18,18,14
291075,1,2,-,3,11,1,-,1,1,-
291077,-,1,-,1,6,2,-,2,1,-
291080,145,65,39,324,1055,305,67,59,127,95
291085,3,1,1,9,17,5,-,4,2,-
291090,1,1,-,2,4,2,-,-,1,-
291100,-,1,-,9,15,2,-,1,1,-
291110,-,1,-,7,18,4,-,6,1,-
291120,5,1,-,14,38,17,4,5,5,2
291125,1,1,-,1,7,2,-,-,-,-
291130,2,1,-,3,9,1,-,3,1,-
291140,2,-,-,4,8,6,-,4,1,1
291150,1,-,-,6,11,2,-,-,1,-
291160,6,2,-,8,21,3,-,1,2,1
291165,-,4,-,5,11,4,-,3,2,-
291170,26,17,5,72,215,58,14,14,24,16
291180,1,-,-,5,25,3,-,4,1,-
291185,1,1,-,5,6,2,-,1,2,-
291190,2,-,-,8,21,2,-,2,1,2
291200,1,2,-,2,16,8,1,1,3,-
291210,6,-,-,4,31,8,-,2,6,1
291220,1,2,-,2,17,3,-,4,1,-
291230,1,-,-,12,18,3,1,-,3,-
291240,2,-,-,4,20,4,1,3,1,-
291250,5,5,-,3,12,6,-,-,2,-
291260,-,1,-,-,7,-,-,-,1,-
291270,2,2,-,4,20,4,-,2,2,1
291280,-,1,-,2,8,1,-,4,1,-
291290,4,2,-,9,20,4,-,-,2,1
291300,1,1,-,5,7,2,-,2,1,1
291310,2,1,1,8,14,3,1,1,1,-
291320,7,9,-,21,42,14,-,2,7,-
291330,3,1,-,3,5,3,-,-,1,-
291340,6,2,-,-,17,4,-,2,2,-
291345,1,-,-,3,14,2,-,3,-,-
291350,2,-,-,9,13,3,-,1,1,1
291360,38,24,11,107,335,90,11,11,36,27
291370,3,2,-,5,29,5,1,8,5,-
291380,4,1,-,3,5,1,-,2,2,-
291390,7,8,2,27,89,24,3,7,5,6
291400,7,2,1,7,39,14,2,6,7,-
291410,-,1,-,3,9,3,-,2,2,-
291420,-,-,-,1,5,1,-,1,-,-
291430,3,-,-,2,9,1,-,4,-,-
291440,3,-,-,3,7,3,1,2,2,1
291450,2,-,-,7,18,5,-,3,4,-
291460,20,14,3,42,155,46,11,7,17,11
291465,8,3,-,8,32,14,1,4,2,-
291470,14,8,-,22,67,20,3,16,7,2
291480,27,19,3,125,439,154,15,14,57,42
291490,1,1,-,11,33,3,1,7,3,-
291500,1,1,-,1,13,2,-,3,1,-
291510,-,1,-,1,13,2,-,2,1,-
291520,1,-,-,3,13,2,-,-,1,-
291530,2,1,-,2,3,3,-,1,1,-
291535,2,-,-,2,12,1,-,6,1,-
291540,-,-,-,4,5,3,-,1,1,-
291550,3,2,-,3,23,9,-,2,6,-
291560,10,8,-,14,72,15,1,12,1,5
291570,2,1,-,4,4,1,-,1,1,-
291580,3,4,-,7,25,8,1,3,4,1
291590,-,1,-,3,10,1,-,2,-,-
291600,1,1,-,3,23,5,-,3,1,2
291610,6,2,1,2,35,10,1,7,5,1
291620,1,1,-,1,14,1,-,3,-,-
291630,-,1,-,4,14,3,-,1,1,-
291640,13,16,5,21,101,30,1,7,10,2
291650,5,1,-,13,21,5,-,4,4,1
291660,-,-,-,2,15,-,-,1,2,-
291670,2,1,-,3,10,2,-,1,1,-
291680,1,-,-,5,14,3,-,4,3,-
291685,-,2,-,2,15,3,-,3,1,1
291690,1,1,-,4,15,2,-,1,1,-
291700,4,1,-,6,9,3,-,8,3,-
291710,2,-,-,6,18,8,1,1,3,-
291720,2,2,-,3,19,3,-,4,2,1
291730,2,1,-,4,14,3,2,3,1,-
291733,-,1,-,1,9,4,-,2,1,-
291735,-,1,-,7,11,1,-,-,1,-
291740,2,2,-,8,17,11,-,-,2,-
291750,18,16,1,52,109,34,4,11,17,6
291760,4,4,-,19,64,14,-,7,3,2
291770,2,2,-,17,19,7,1,3,5,-
291780,-,-,-,1,12,5,-,3,1,1
291790,-,1,-,3,5,2,-,3,1,-
291800,38,32,7,119,365,128,7,17,31,21
291810,6,1,-,6,42,8,-,9,5,1
291820,1,-,-,3,15,1,-,-,1,-
291830,2,1,-,-,14,3,-,3,-,-
291835,2,1,-,1,14,5,-,2,1,-
291840,39,29,21,96,312,61,39,59,38,28
291845,2,1,-,1,7,1,-,3,1,-
291850,2,1,-,3,14,3,-,1,-,-
291855,1,2,-,2,9,2,-,2,1,-
291860,3,1,-,6,9,4,-,-,1,-
291870,-,1,-,-,7,1,-,1,-,-
291875,-,1,-,2,10,1,-,1,-,-
291880,4,2,1,13,25,10,-,2,2,1
291890,-,1,-,1,10,2,-,-,1,-
291900,-,1,-,-,-,-,-,-,-,-
291905,1,-,-,-,9,2,-,1,-,-
291910,1,-,-,2,13,1,-,2,1,-
291915,2,1,-,3,28,3,-,5,3,-
291920,66,35,12,124,300,103,42,30,38,64
291930,2,1,-,4,17,2,-,2,1,-
291940,-,2,-,3,10,3,-,2,3,1
291950,5,6,1,16,53,13,-,2,4,2
291955,7,10,1,29,64,33,9,9,5,8
291960,2,-,-,6,9,2,-,1,2,-
291970,3,1,-,5,17,5,-,-,1,-
291980,7,3,-,13,43,13,2,7,6,1
291990,1,1,-,3,4,2,-,2,1,-
291992,8,3,2,8,38,9,3,3,3,1
291995,-,-,-,3,7,2,-,1,1,-
292000,-,-,-,3,7,5,-,1,1,-
292010,6,1,-,2,27,6,1,6,5,1
292020,-,1,-,1,3,-,-,3,1,-
292030,-,1,-,1,7,2,-,3,1,-
292040,2,-,-,-,12,2,-,2,-,1
292045,1,-,-,2,5,2,-,1,1,-
292050,3,2,-,6,26,5,-,2,3,-
292060,3,1,-,2,25,5,-,9,2,1
292070,1,-,-,4,21,4,-,4,1,-
292080,-,1,-,5,3,-,-,2,1,-
292090,1,-,-,5,18,6,-,-,1,-
292100,3,1,4,14,40,8,2,13,4,2
292105,1,5,-,-,6,1,-,-,-,-
292110,2,1,3,3,20,10,-,3,3,2
292120,3,1,-,7,38,4,-,4,4,1
292130,1,2,-,2,11,2,-,3,1,-
292140,3,-,-,1,10,-,-,1,-,1
292145,1,1,-,3,8,2,-,2,1,-
292150,3,1,-,7,15,6,-,9,6,-
292160,-,1,-,1,13,1,-,3,-,-
292170,7,4,-,9,36,7,1,8,5,1
292180,1,-,-,4,14,3,-,2,1,-
292190,3,2,-,2,11,3,-,3,2,-
292200,5,6,4,19,41,13,4,12,4,2
292205,-,2,-,2,9,-,-,1,2,-
292210,4,2,-,3,17,2,-,4,3,-
292220,2,1,-,1,6,2,-,1,2,-
292225,1,1,-,2,9,2,-,1,3,-
292230,1,2,-,9,25,3,-,2,1,-
292240,2,2,-,5,18,5,-,1,1,-
292250,4,1,-,1,33,9,1,7,3,2
292260,2,2,-,2,9,2,-,3,1,-
292265,1,1,-,3,8,2,1,2,2,-
292270,1,2,-,5,18,4,-,1,2,-
292273,2,1,-,7,12,2,-,-,1,-
292275,1,-,-,1,9,2,-,1,1,-
292280,-,-,-,1,2,2,-,3,1,1
292285,-,-,-,3,6,2,-,1,1,-
292290,-,-,-,3,29,5,2,3,2,1
292300,7,4,-,3,35,5,-,6,1,-
292303,1,-,-,1,10,2,-,3,2,-
292305,1,1,-,7,7,1,-,1,4,-
292310,1,-,-,5,15,2,-,6,-,-
292320,3,2,-,5,15,3,-,4,2,-
292330,1,1,-,3,7,2,-,-,1,-
292335,2,-,-,5,15,1,2,4,2,-
292340,1,3,-,2,16,2,-,1,1,-
292350,1,1,-,2,10,2,-,4,-,1
292360,5,10,-,12,41,9,3,1,6,2
292370,3,1,-,5,20,4,-,3,2,-
292380,2,2,-,5,33,4,-,5,3,-
292390,1,1,-,3,10,2,-,4,2,-
292400,25,12,5,53,179,55,15,14,18,19
292405,2,3,-,4,18,6,-,3,3,-
292410,1,-,-,2,6,1,-,1,1,-
292420,-,-,-,3,14,1,-,3,1,-
292430,2,2,-,8,14,5,1,3,2,1
292440,4,4,1,6,17,3,-,3,2,-
292450,1,4,-,2,12,4,-,1,1,1
292460,2,-,-,1,2,1,-,4,1,-
292465,-,1,-,2,8,2,-,1,1,-
292467,1,1,-,-,4,2,-,1,1,-
292470,-,-,-,6,18,5,-,-,1,-
292480,1,4,-,2,15,2,-,6,1,-
292490,-,1,-,3,6,3,-,2,1,-
292500,2,1,-,2,20,2,-,2,3,-
292510,6,7,-,17,43,14,3,6,8,1
292520,4,3,-,9,44,13,1,9,4,2
292525,-,1,-,3,8,4,-,1,-,-
292530,19,21,4,53,185,37,8,25,17,20
292540,2,1,-,3,10,2,-,-,1,-
292550,4,3,-,7,43,7,1,9,2,1
292560,2,2,-,4,15,2,-,3,2,-
292570,3,2,-,2,16,2,1,4,1,-
292575,2,1,-,6,22,4,1,1,2,-
292580,2,3,-,2,16,2,1,3,1,1
292590,3,2,-,4,22,7,-,4,6,-
292593,-,1,-,-,6,1,-,3,1,-
292595,4,2,-,1,24,4,-,4,2,-
292600,8,4,-,15,39,8,1,7,2,1
292610,1,2,-,3,14,4,-,-,4,-
292620,1,1,-,3,15,2,-,3,1,-
292630,2,1,2,12,32,8,-,1,2,1
292640,3,3,-,9,24,3,-,3,6,-
292650,1,1,-,-,18,2,-,5,1,-
292660,7,5,-,9,81,13,4,4,9,3
292665,1,1,-,1,10,2,-,1,1,-
292670,2,1,-,1,18,1,-,1,1,-
292680,-,1,-,2,12,2,-,1,1,-
292690,1,2,-,2,8,3,-,3,2,-
292700,5,1,-,6,43,6,-,6,3,1
292710,-,1,-,3,9,3,-,2,-,-
292720,3,3,-,8,36,5,1,6,3,1
292730,-,1,-,4,14,2,-,2,-,-
292740,895,675,303,2103,7062,2209,518,233,844,846
292750,2,2,-,4,17,1,-,5,1,-
292760,1,1,-,2,21,3,-,3,1,-
292770,4,2,-,8,18,4,-,7,1,-
292780,-,1,-,2,9,1,-,1,1,1
292790,1,-,-,-,14,1,-,3,1,1
292800,6,4,1,14,48,6,-,6,3,3
292805,1,1,-,-,14,3,-,-,3,-
292810,9,3,-,12,35,7,1,7,5,-
292820,4,2,-,9,16,7,-,3,2,-
292830,1,1,-,2,7,1,-,1,1,-
292840,4,3,-,10,29,7,-,2,3,-
292850,3,1,-,2,6,1,-,2,2,-
292860,7,4,1,9,41,14,-,9,6,1
292870,23,21,8,61,208,73,8,13,34,13
292880,6,4,-,11,42,13,-,5,4,1
292890,6,3,-,4,28,10,-,3,1,-
292895,5,3,-,3,8,4,-,1,1,-
292900,3,2,1,13,29,5,-,2,2,-
292905,1,1,-,3,13,2,-,5,2,-
292910,6,2,-,6,17,6,-,5,4,-
292920,29,5,-,13,72,19,2,11,9,3
292925,1,2,-,-,13,4,-,3,1,-
292930,4,3,-,3,25,4,-,-,4,-
292935,-,1,-,1,5,2,-,-,-,-
292937,-,-,-,-,6,-,-,1,1,-
292940,2,1,-,2,8,1,-,1,1,-
292950,9,1,-,11,33,6,-,9,3,2
292960,4,2,-,1,31,5,-,1,3,-
292970,1,1,-,-,13,1,-,6,-,-
292975,2,-,-,-,9,-,-,3,-,-
292980,2,1,-,1,8,3,-,1,1,-
292990,8,6,-,15,47,12,2,3,10,1
293000,-,1,-,3,9,2,-,1,2,-
293010,14,5,-,20,50,19,1,14,11,-
293015,1,-,-,4,19,-,-,5,-,-
293020,6,1,-,10,20,2,1,2,1,-
293030,2,1,-,3,13,2,-,3,1,-
293040,1,-,-,2,13,2,-,1,2,-
293050,20,9,-,26,84,25,-,7,22,4
293060,2,-,-,3,9,1,-,1,2,-
293070,18,4,-,18,99,26,3,14,12,15
293075,1,1,-,3,12,1,-,1,-,-
293076,2,1,-,-,13,-,-,4,2,-
293077,1,1,-,7,14,4,-,4,1,-
293080,2,1,-,1,8,4,-,-,3,-
293090,3,1,-,2,12,2,-,1,1,-
293100,1,2,-,4,19,1,-,4,1,-
293105,2,2,-,3,11,7,-,1,3,-
293110,1,1,-,2,8,2,-,1,1,-
293120,2,-,-,4,17,3,-,4,1,1
293130,4,2,-,-,11,2,-,1,1,-
293135,30,20,3,53,187,67,19,37,19,19
293140,1,1,-,4,10,3,-,3,1,-
293150,2,1,-,6,17,4,-,-,4,-
293160,1,1,-,4,14,3,-,3,-,-
293170,1,2,1,1,11,2,-,2,-,-
293180,2,1,-,1,10,-,-,3,-,1
293190,5,-,-,9,50,5,-,6,4,1
293200,1,-,1,3,10,5,-,5,2,-
293210,2,1,-,5,16,4,-,2,-,-
293220,1,2,-,1,21,6,-,-,1,-
293230,1,2,-,3,20,4,-,-,-,-
293240,2,1,-,3,12,1,-,3,1,-
293245,1,1,-,1,9,3,-,5,3,-
293250,4,2,-,5,29,9,-,6,7,-
293260,2,2,-,3,14,2,-,3,1,-
293270,2,-,-,4,24,3,-,3,3,-
293280,2,-,-,3,12,4,-,3,3,-
293290,10,8,3,14,63,44,5,10,9,6
293300,3,2,1,2,22,6,-,4,2,-
293305,1,1,-,1,9,1,-,4,2,-
293310,-,1,-,2,5,-,-,2,1,-
293315,1,2,-,2,13,2,-,2,2,-
293317,1,1,-,-,8,1,-,3,1,-
293320,3,2,-,13,40,8,-,5,2,-
293325,-,2,-,2,6,1,-,1,1,-
293330,55,202,29,238,448,188,48,22,58,88
293340,-,1,-,1,5,1,-,2,1,-
293345,1,1,-,1,9,2,-,3,1,-
293350,2,-,-,3,24,2,-,5,2,-
293360,6,4,-,6,31,3,-,8,2,-
310010,1,3,-,8,4,3,1,2,2,1
310020,3,3,1,27,17,13,-,2,2,4
310030,3,3,-,9,15,3,-,-,2,2
310040,-,2,-,2,2,3,-,1,2,1
310050,2,-,-,4,8,1,-,1,1,-
310060,1,-,-,6,11,1,-,2,2,1
310070,-,2,-,-,7,2,1,1,-,2
310080,-,2,-,2,4,2,1,-,1,-
310090,4,2,-,3,15,5,-,5,2,1
310100,2,2,-,12,13,7,-,1,3,3
310110,2,10,3,10,32,9,4,3,3,6
310120,-,1,1,8,9,6,1,2,-,2
310130,1,-,-,2,1,1,-,1,1,-
310140,1,-,-,2,4,2,-,-,1,1
310150,7,6,-,12,39,28,4,7,5,8
310160,16,15,6,95,125,86,21,18,20,44
310163,-,1,-,3,3,1,-,1,1,2
310170,7,7,1,21,43,10,1,6,2,3
310180,-,1,-,1,4,1,-,-,-,1
310190,3,5,-,22,25,8,1,4,5,3
310200,1,5,-,5,14,8,-,-,3,-
310205,1,1,-,1,6,2,1,2,1,1
310210,1,3,-,2,9,3,-,1,1,3
310220,-,3,-,2,7,3,-,2,-,-
310230,2,3,-,14,15,4,-,6,1,1
310240,-,1,-,1,6,2,1,1,1,1
310250,-,1,-,-,8,2,1,3,1,1
310260,7,8,-,51,47,15,12,6,4,13
310270,1,1,-,2,9,2,-,3,1,-
310280,3,6,-,9,13,7,1,1,6,-
310285,1,1,-,-,6,1,-,4,1,-
310290,1,3,-,16,14,5,-,1,2,3
310300,-,2,-,3,12,3,-,2,2,-
310310,1,1,-,2,2,5,-,1,1,-
310320,-,1,-,1,2,2,-,-,-,-
310330,-,-,-,1,1,2,1,1,1,-
310340,6,3,-,43,45,17,2,5,3,4
310350,28,21,4,129,136,53,30,18,22,32
310360,1,1,-,3,4,3,-,1,1,-
310370,1,-,-,-,5,2,1,6,2,2
310375,1,5,3,17,8,3,-,2,2,3
310380,-,2,-,4,3,4,-,2,1,1
310390,1,1,-,4,9,3,-,3,1,1
310400,19,27,5,101,157,85,15,12,26,23
310410,-,2,-,6,13,4,1,2,2,1
310420,2,17,-,23,39,18,3,6,7,4
310430,2,3,-,8,11,7,-,1,2,2
310440,-,1,-,1,4,2,-,-,1,1
310445,1,1,-,3,6,2,-,2,1,-
310450,3,3,-,10,17,4,-,2,1,-
310460,1,2,-,13,14,8,1,1,2,1
310470,1,3,-,7,13,2,-,2,-,-
310480,-,1,-,-,3,1,-,2,1,1
310490,3,5,4,19,31,15,6,4,3,4
310500,-,1,-,2,4,2,1,3,1,-
310510,4,14,2,21,32,19,1,3,4,3
310520,2,1,-,3,3,2,-,1,-,-
310530,1,2,-,3,5,2,1,1,2,1
310540,2,12,-,25,36,13,6,4,4,6
310550,-,1,-,1,7,4,1,4,1,-
310560,42,47,9,240,302,139,27,14,37,51
310570,1,-,-,1,4,1,-,2,1,1
310590,2,3,-,26,21,12,-,2,4,4
310600,1,3,-,3,6,4,-,2,1,-
310610,-,1,-,4,5,1,-,-,-,-
310620,595,674,503,4462,7022,2133,940,270,543,1624
310630,1,6,-,25,32,8,1,3,4,5
310640,-,2,-,2,10,4,-,3,1,-
310650,1,3,-,7,10,2,-,2,1,1
310660,1,1,-,2,4,3,-,2,-,-
310665,-,1,-,2,3,2,1,1,-,1
310670,82,100,62,402,653,275,102,79,51,159
310680,-,1,-,3,3,3,-,-,1,-
310690,1,3,-,12,17,17,1,3,3,5
310700,-,2,-,-,5,1,-,-,-,-
310710,4,9,1,26,38,26,6,8,9,7
310720,1,2,-,4,5,2,-,-,-,-
310730,6,11,-,54,49,14,1,6,5,5
310740,7,26,1,45,72,38,8,15,9,9
310750,-,3,-,6,9,5,-,3,5,1
310760,-,1,-,4,10,3,-,2,1,-
310770,-,-,-,6,14,1,1,1,1,1
310780,3,5,-,9,15,4,-,4,3,2
310790,1,2,-,3,8,1,-,5,1,1
310800,1,3,1,9,18,7,-,3,1,2
310810,-,1,-,3,8,2,-,2,1,1
310820,-,1,-,2,10,2,-,2,1,-
310825,1,1,-,5,9,1,-,1,1,-
310830,2,2,1,2,14,8,-,7,1,3
310840,1,3,-,13,10,7,-,2,3,2
310850,-,-,-,1,8,3,-,2,1,-
310855,-,1,-,7,12,4,-,-,-,-
310860,9,7,3,24,66,18,5,5,7,6
310870,1,1,-,1,4,1,-,2,1,-
310880,-,1,-,3,4,2,1,2,1,1
310890,1,3,-,6,14,8,-,5,2,3
310900,18,10,-,32,89,31,1,15,10,13
310910,1,4,-,8,11,5,-,3,1,1
310920,-,1,-,2,10,3,1,3,-,1
310925,-,-,-,5,3,2,-,-,1,-
310930,5,3,-,12,33,7,2,4,1,2
310940,4,5,2,15,24,6,-,4,3,2
310945,-,1,-,1,5,3,-,2,-,-
310950,1,2,-,13,15,5,-,2,2,-
310960,-,1,-,1,3,2,1,1,2,1
310970,3,2,-,3,8,3,2,3,1,2
310980,1,1,-,4,6,1,1,-,1,-
310990,1,2,-,11,14,2,1,2,3,2
311000,3,7,1,81,24,7,-,5,4,8
311010,2,2,-,2,4,3,1,1,1,1
311020,3,-,-,2,4,1,-,-,2,2
311030,1,3,-,3,11,7,1,2,3,3
311040,-,2,-,-,3,2,-,2,2,-
311050,-,6,-,18,19,4,2,4,2,5
311060,2,11,-,25,12,9,6,9,4,13
311070,5,4,-,6,13,9,1,-,2,4
311080,2,1,-,2,4,2,-,-,1,1
311090,3,3,-,17,16,9,-,3,3,3
311100,3,5,1,11,27,10,1,3,4,-
311110,1,4,-,15,16,6,1,2,4,3
311115,-,-,-,1,3,1,-,2,1,-
311120,15,8,2,93,75,25,-,7,9,10
311130,1,-,-,3,13,2,1,2,1,1
311140,1,1,-,6,7,9,-,1,1,1
311150,-,2,-,6,18,5,1,4,1,1
311160,4,4,-,16,34,8,3,4,4,3
311170,3,-,-,-,6,3,-,1,3,-
311180,1,2,2,3,10,5,-,2,6,1
311190,-,1,-,-,4,2,-,1,-,1
311200,2,12,-,3,16,8,-,1,1,1
311205,-,-,-,-,6,1,-,-,1,-
311210,1,-,-,2,4,1,2,2,1,-
311220,-,1,-,7,8,2,-,1,1,1
311230,4,2,-,19,44,15,1,9,6,2
311240,-,2,-,7,8,3,-,3,2,-
311250,-,-,-,1,6,4,-,2,1,1
311260,2,1,-,3,8,6,-,2,2,2
311265,1,1,-,3,8,2,-,2,1,-
311270,1,1,-,4,13,8,1,2,1,-
311280,-,1,-,4,8,5,-,2,1,1
311290,-,3,-,4,7,3,-,3,1,-
311300,2,2,-,2,5,5,-,3,2,1
311310,-,1,-,2,2,2,-,-,2,1
311320,3,8,-,26,31,6,1,6,3,6
311330,14,16,2,46,73,26,1,4,6,10
311340,21,17,6,89,128,62,6,16,21,12
311350,-,1,-,3,9,3,-,3,1,-
311360,-,3,-,1,5,2,1,2,1,1
311370,1,3,-,11,11,6,1,2,2,-
311380,-,1,-,2,2,2,-,-,1,-
311390,-,3,-,2,8,2,1,4,1,1
311400,2,4,-,6,11,4,-,3,2,1
311410,2,2,-,11,16,6,-,3,2,2
311420,1,3,1,11,17,6,-,8,1,5
311430,7,36,-,26,32,16,2,9,5,1
311440,1,3,1,12,19,10,-,6,5,1
311450,1,12,-,8,18,11,-,4,2,4
311455,1,8,-,4,16,9,-,1,2,1
311460,-,1,-,3,7,3,-,-,1,-
311470,-,1,-,1,3,1,-,-,1,-
311480,-,-,-,4,9,2,-,-,1,1
311490,-,1,-,1,2,-,1,-,1,1
311500,1,-,-,2,2,3,-,1,1,-
311510,3,4,1,16,21,4,-,3,1,3
311520,-,1,-,-,2,2,1,-,2,1
311530,13,10,1,73,65,80,5,6,15,12
311535,-,4,-,-,5,2,-,2,1,-
311540,-,1,-,-,3,2,-,-,1,-
311545,2,3,-,2,10,-,-,-,1,-
311547,1,1,-,2,6,-,-,3,1,-
311550,5,3,2,9,15,9,1,3,3,3
